Materials,01 EN15804+A2 (EF 3.1) Klimawandel - total [kg CO2 Äquiv.],"02 EN15804+A2 (EF 3.1) Klimawandel, fossil [kg CO2 Äquiv.]",03 EN15804+A2 (EF 3.1) Klimawandel - biogen [kg CO2 Äquiv.],"04 EN15804+A2 (EF 3.1) Klimawandel, Landnutzung und Landnutzungsänderung [kg CO2 Äquiv.]",05 EN15804+A2 (EF 3.1) Ozonabbau [kg CFC-11 Äquiv.],06 EN15804+A2 (EF 3.1) Versauerung [Mole of H+ Äquiv.],"07 EN15804+A2 (EF 3.1) Eutrophierung, Frischwasser [kg P Äquiv.]","08 EN15804+A2 (EF 3.1) Eutrophierung, marine Ökosysteme [kg N Äquiv.]","09 EN15804+A2 (EF 3.1) Eutrophierung, terrestrische Ökosysteme [Mol von N-Äquiv.]","10 EN15804+A2 (EF 3.1) Fotochemisches Ozonbildungspotenzial, menschl. Gesundheit [kg NMVOC Äquiv.]","11 EN15804+A2 (EF 3.1) Ressourcenverbrauch, Mineralien und Metalle [kg Sb Äquiv.]","12 EN15804+A2 (EF 3.1) Ressourcenverbrauch, fossil [MJ]",13 EN15804+A2 (EF 3.1) Wassernutzung [m³ Weltäquiv.],01 EN15804+A2 Verbrauch von erneuerbarer Primärenergie (PERE) [MJ],02 EN15804+A2 Primärenergie zur stofflichen Nutzung (PERM) [MJ],03 EN15804+A2 Gesamtverbrauch von erneuerbarer Primärenergie (PERT) [MJ],04 EN15804+A2 Verbrauch von nicht-erneuerbarer Primärenergie (PENRE) [MJ],05 EN15804+A2 Nicht-erneuerbare Primärenergie zur stofflichen Nutzung (PENRM) [MJ],06 EN15804+A2 Gesamtverbrauch von nicht-erneuerbarer Primärenergie (PENRT) [MJ],07 EN15804+A2 Input von Sekundärwerkstoffen (SM) [kg],08 EN15804+A2 Verbrauch ern. Sekundärbrennstoffe (RSF) [MJ],09 EN15804+A2 Verbrauch nicht ern. Sekundärbrennstoffe (NRSF) [MJ],10 EN15804+A2 Frischwasserverbrauch (FW) [m3],01 EN15804+A2 Gefährlicher Abfall zur Beseitigung (HWD) [kg],02 EN15804+A2 Ungefährlicher Abfall zur Beseitigung (NHWD) [kg],03 EN15804+A2 radioaktiver Abfall zur Beseitigung (RWD) [kg],04 EN15804+A2 Komponenten für Wiederverwendung (CRU) [kg],05 EN15804+A2 Stoffe zum Recycling (MFR) [kg],06 EN15804+A2 Stoffe für die Energierückgewinnung (MER) [kg],07 EN15804+A2 Exportierte Energie elektrisch (EEE) [MJ],08 EN15804+A2 Exportierte Energie thermisch (EET) [MJ],01 EN15804+A2 Biogener Kohlenstoffgehalt im Produkt [kg],02 EN15804+A2 Biogener Kohlenstoffgehalt der Verpackung [kg],01 EN15804+A2 (EF 3.1) Feinstaub [Disease incidences],"02 EN15804+A2 (EF 3.1) Ionisierende Strahlung, Gesundheitliche Auswirkungen auf den Menschen [kBq U235 Äquiv.]","03 EN15804+A2 (EF 3.1) Ökotoxizität, Frischwasser [CTUe]","04 EN15804+A2 (EF 3.1) Humantoxizität, kanzerogen [CTUh]","05 EN15804+A2 (EF 3.1) Humantoxizität, nicht kanzerogen [CTUh]",06 EN15804+A2 (EF 3.1) Landnutzung [Pt]
2018test,62.11784578,78.94791652,-16.90137733,0.071306585,1.56E-07,0.303578466,0.000407734,0.060613115,0.623221373,0.177482375,0.000571905,1113.249261,3.612289118,385.8004194,0,385.8004194,1113.96421,0,1113.96421,5.021004882,0,0,0.471627967,4.31E-06,9.316348428,0.048000158,0,0,0,0,0,0,0,4.11E-06,10.44647951,428.2525652,4.77E-06,5.02E-07,1450.611037
Abfall <u-so>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abfall NORTEC <u-so>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abwasser <u-so>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abwasser <u-so>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abwasser NORTEC <u-so>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpha_suspension <u-so>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpha-Halbhydrat <p-agg>,0.215871552,0.215910043,-3.85E-05,0,4.34E-09,0.000316244,5.69E-08,6.82E-05,0.000752085,0.000208925,7.34E-09,3.326214413,0.019593152,0.026046309,0,0.026046309,3.326214413,0,3.326214413,0,0,0,0.000456185,0,0,7.04E-05,0,0,0,0,0,0,0,2.25E-09,0.006849197,0.231596202,1.72E-11,1.83E-10,-5.62E-09
Altpapier-Input <u-so>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asien: Betonstahl worldsteel,1.852439734,1.851787296,0.000413855,0.000238583,1.85E-12,0.004625168,6.94E-07,0.000917699,0.009844513,0.003244528,-6.61E-07,24.43113215,0.598102033,1.127850999,0,1.127850999,24.43829277,0,24.43829277,0,0,0,0.025300576,-4.78E-08,0.015074385,4.12E-27,0,0,0,0,0,0,0,2.27E-07,0.031701143,2.764101491,1.83E-09,3.87E-09,1.424532987
Asien: Elektrolytisch verzinkter Stahl worldsteel,2.829606572,2.855810174,-0.026780036,0.000576434,2.36E-12,0.006677737,1.29E-06,0.001331575,0.013508633,0.004866569,1.13E-05,31.68808694,0.690253683,3.090565932,0,3.090565932,31.69830087,0,31.69830087,0,0,0,0.024936277,1.34E-07,0.035567075,7.84E-27,0,0,0,0,0,0,0,3.07E-07,0.029856119,4.389851873,1.31E-09,6.30E-09,3.388673034
Asien: Stahl Weissblech worldsteel,2.960900773,2.96160744,-0.001206368,0.000499701,2.12E-12,0.0070751,4.03E-06,0.001370929,0.014560809,0.005011183,7.65E-05,33.49416988,0.347790374,1.867264312,0,1.867264312,33.50304203,0,33.50304203,0,0,0,0.039082067,1.88E-09,0.037048295,1.24E-26,0,0,0,0,0,0,0,7.25E-07,0.025271511,4.352932144,3.27E-10,6.09E-09,3.405663233
"Asien: Stahl, Baustahl worldsteel",1.647755747,1.64755344,-3.36E-05,0.000235908,5.93E-12,0.004051331,5.75E-07,0.000725723,0.007716014,0.002369378,8.39E-06,16.88830614,2.820006212,2.550727939,0,2.550727939,16.89145241,0,16.89145241,0,0,0,0.083250141,-3.05E-08,0.071457995,1.57E-27,0,0,0,0,0,0,0,3.80E-07,0.043271658,2.97368156,2.21E-10,8.51E-09,1.903788045
"Asien: Stahl, feuerverzinkt worldsteel",2.979876098,3.019809163,-0.040536256,0.000603191,1.75E-12,0.007039202,1.54E-06,0.001403948,0.014446417,0.005162003,1.75E-05,33.61617582,0.736112168,3.229261136,0,3.229261136,33.62640543,0,33.62640543,0,0,0,0.026224127,2.22E-07,0.040495933,1.16E-26,0,0,0,0,0,0,0,3.06E-07,0.025976073,4.548402229,1.50E-09,5.76E-09,2.427174974
"Asien: Stahl, organisch beschichtet worldsteel",3.124715629,3.183501321,-0.059653319,0.000867627,3.56E-12,0.006102986,1.23E-06,0.001398913,0.014908111,0.005557882,6.54E-06,34.80901879,0.283790838,5.049301206,0,5.049301206,34.81701139,0,34.81701139,0,0,0,0.018499333,8.54E-08,0.03621392,2.06E-27,0,0,0,0,0,0,0,3.54E-07,0.031775835,4.263660807,7.69E-10,9.72E-09,5.240122354
"Asien: Stahl-Coil, gebeizt, warmgewalzt worldsteel",2.461381414,2.488355026,-0.027456427,0.000482816,3.77E-13,0.006636659,1.23E-06,0.001161033,0.011827957,0.004414683,1.09E-06,26.91962536,0.64815654,1.864450929,0,1.864450929,26.9251361,0,26.9251361,0,0,0,0.024420073,9.03E-09,0.015185677,1.32E-26,0,0,0,0,0,0,0,3.34E-07,0.00955279,2.884873945,1.16E-09,2.74E-09,1.737039797
"Asien: Stahl-Coil, kaltgewalzt (finished) worldsteel",2.780356784,2.80687871,-0.027037304,0.000515379,1.49E-12,0.00615762,1.39E-06,0.001192591,0.012317752,0.00456913,1.29E-06,29.99624258,0.83729867,2.47385066,0,2.47385066,30.00338997,0,30.00338997,0,0,0,0.029701966,9.29E-09,0.018164479,1.24E-26,0,0,0,0,0,0,0,3.34E-07,0.020769786,3.815234143,9.48E-10,3.57E-09,2.515177922
